"Alnusacuminata"	"Anonaceaesp."	"Arbutusxalapensis"	"Buddleiacordata"	"Buddleianitida"	"Calyptranthespallens"	"Clethramacrophylla"	"Clethraoleoides"	"Clethrasuaveolens"	"Cleyeratheaeoides"	"Clusiarosea"	"Cornusdisciflora"	"Cornusexcelsa"	"Cupaniadentata"	"Cupressuslusitanica"	"Cyatheafulva"	"Daphnopsisselerolum"	"Dendropanaxarboreus"	"Deppeagrandiflora"	"Drimysgranadensis"	"Erythrinachiapasana"	"Eugeniacapuli"	"Eugeniacapulioides"	"Eupatoriumligustrinum"	"Eupatoriumnubigenum"	"Garryalaurifolia"	"Holodiscusargenteus"	"Ingasp."	"Juniperusgamboana"	"Lippiasubstrigosa"	"Liquidambarstyraciflua"	"Litseaglaucescens"	"Magnoliasharpii"	"Meliosmadives"	"Miconiaglaberrima"	"Microtropiscontracta"	"Myricacerifera"	"Myrtaceaesp1."	"Nyssasilvatica"	"Ocoteaeffusa"	"Ocoteahelicterifolia"	"Olmediellabetschleriana"	"Oreopanaxxalapensis"	"Ostryavirginiana"	"Parathesisbelizensis"	"Perseaamericana"	"Pinusayacahuite"	"Pinusmontezumae"	"Pinusoocarpa"	"Pinuspseudostrobus"	"Pinustecunumani"	"Prunuslundelliana"	"Prunusrhamnoides"	"Prunusserotina"	"Quercusacatenangensis"	"Quercuscandicans"	"Quercuscrassifolia"	"Quercuscrispipilis"	"Quercuslaurina"	"Quercuspeduncularis"	"Quercuspolymorpha"	"Quercusrugosa"	"Quercussapotaefolia"	"Quercussegoviensis"	"Quercusskutchii"	"Rapaneajuergensenii"	"Rapaneamyricoides"	"Rhamnussharpii"	"Rondeletiastenosiphon"	"Saurauialatipetala"	"Saurauiascabrida"	"Sebastianiacruenta"	"Solanumnudum"	"Styraxargenteus"	"Symplococarponpurpusii"	"Symplocoslimoncillo"	"Tecomastans"	"Ternstroemialineata"	"Ternstroemiaoocarpa"	"Verbesinaperymenioides"	"Vernonialeiocarpa"	"Vernoniascorpioides"	"Viburnumaff.lautum"	"Viburnumjucundum"	"Weinmanniapinnata"	"Zanthoxylummelanostictum"
"Mitzit6"	2	0	8	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	82	0	0	0	0	0	1	9	8	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"Mitzit7"	8	0	2	6	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	42	0	0	0	0	0	24	4	7	0	0	19	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"Mitzit8"	9	0	0	0	0	0	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	21	20	0	0	0	0	0	9	2	48	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mitzit9"	6	0	0	9	0	0	0	0	0	16	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	24	0	0	0	0	0	21	0	46	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
"Mitzit10"	0	0	0	2	0	0	0	0	0	22	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	29	0	0	1	0	0	0	0	8	0	5	0	0	0	0	0	30	0	0	0	0	0	0	27	0	1	0	0	0	0	0	23	0	0	0	8	0	0	0	0	0	2	0	0
"Huitep1"	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	3	0	0	47	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
"Huitep2"	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	15	0	0	17	0	0	0	2	0	4	0	0	0	0	0	0	0	2	0	5	0	1	0	0	0	19	0	0
"Huitep3"	0	0	0	1	0	0	23	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	3	0	2	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	3	0	0	0	6	0	0	0	3	0	0	0	9	0	0	0	0	0	7	0	0	0	18	0	0
"Huitep4"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	56	5	3	0	0	45	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Huitep5"	4	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	6	0	10	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	5	8	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	28	0	0
